SP: Spontaneous Potential,SP,AHSC,AHSF,CPSP,DFSP,EDSP,ELSP,HSP,IASP,IDSP,IXSP,PCH1,RXSP,SP_S,SPA_,SPAR,SPBR,SPC,SPCG,SPD,SPDF,SPDH,SPH,SPLL,SPOT,SPP,SPS,SPSB,SSPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRES: Shallow Resistivity,AE20,AE30,AF10,AF20,AFRX,AHF1,AHF10,AHF2,AHF20,AHO1,AHO10,AHO2,AHO20,AHSFI,AHT1,AHT10,AHT2,AHT20,AHTRX,AIT10,AIT20,AO10,AO20,AORX,AS10,AS20,ASF1,ASF10,ASF2,ASF20,ASFI,ASFL,ASN,ASO10,ASO20,ASRX,AST1,AST10,AST2,AST20,AT10,AT12,AT20,ATRX,FE1,FEFE,FR,FRA,HAT1,HAT2,HRL1,HRL2,HRLS,HSFL,HSFLU,ILS,LL8,LLA,M0R1,M0R2,M1R1,M1R2,M2R1,M2R2,M4R1,M4R2,MFR,MLL,MSFF,MSFL,PSHG,RES,RESS,RILS,RLL1,RLL2,RS,RSFE,RSFL,RSG,RXO_HRLT,RXO,RXO1D,RXO8,RXOH,RXOI,RXOZ,SFBC,SFL,SFL4,SFLA,SFLR,SFLU,SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRES: Medium Resistivity,AE60,AF30,AHF3,AHF30,AHO3,AHO30,AHT3,AHT30,AIT3,AIT30,AO30,AS30,ASF3,ASF30,ASO30,AST3,AST30,AT30,DSLL,HAT3,HILM,HLLS,HRL3,ILD25,ILM,ILM1,ILM2,ILM25,ILM4,IM,IM10,IM20,IM25,IM40,IMER,IMPH,IMVR,LLS,M0R3,M1R3,M2R3,M4R3,MVR1,MVR2,MVR4,PIRM,REIM,RILM,RIPM,RLLS,RMLL,RPCL RESM 5,VILM,VP25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRES: Deep Resistivity,ILD,A22H_,A22H_UNC,A22H,A28H_,A28H_UNC,A28H,A34H_,A34H_UNC,A34H,AF60,AF90,AFRT,AHF6,AHF60,AHF9,AHF90,AHO6,AHO60,AHO9,AHO90,AHOR,AHT6,AHT60,AHT9,AHT90,AHTR,AHTRT,AILD,AIT,AIT120,AIT6,AIT60,AIT9,AIT90,AO12,AO60,AO90,AORT,AS60,AS90,ASF6,ASF60,ASF9,ASF90,ASFR,ASO60,ASO90,ASRT,AST6,AST60,AST9,AST90,ASTR,AT60,AT90,ATRT,DDLL,DIPH,DVR1,DVR2,DVR4,EIRD,FE2,GRD,HAT6,HAT9,HATR,HILD,HLLD,HRL4,HRL5,HRLD,ID10,ID20,ID25,ID40,IDER,IDPH,IDVR,IL,ILD1,ILD2,ILD4,LL,LL3,LL7,LLD,LLG,LN,M0R6,M0R9,M0RX,M1R6,M1R9,M1RX,M2R6,M2R9,M2RX,M4R6,M4R9,M4RX,P10H_,P10H_UNC,P10H,P16H_,P16H_UNC,P16H,P22H_,P22H_UNC,P22H,P28H_,P28H_UNC,P28H,P34H_,P34H_UNC,P34H,REID,RILD,RIPD,RLA1,RLA2,RLA3,RLA4,RLA5,RLL,RLL3,RLL4,RLL5,RLLD,RT_H,RT_HRLT,RT,VILD,VP65,VRSD
ILS: Induction Shallow Resistivity,AE10,AE20,AF10,AF20,AHF10,AHF20,AHF20,AHO10,AHO20,AHT10,AHT20,AIT20,AO10,AO20,AT10,AT20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILM: Induction Medium Resistivity,ILM,20K_ILM,20K,20KMED,AE30,AF30,AFH30,AHF30,AHO30,AHT30,AIT30,AO30,AT30,AT30,IMPH,M2R3,M2R3,M4R3,MVR2,MVR4,RILM,RIMP,RMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILD: Induction Deep Resistivity,ILD,20K_ILD,20KD,20KDEEP,AE60,AE90,AF60,AF90,AHF90,AHO60,AHO90,AHT60,AHT90,AI120,AIT60,AIT90,AO60,AO90,AT120,DEEP,DVR2,DVR4,ECGR,EHGR,ID,IDD,IDID,IDIM,IDVR,IL,M2R6,M2R9,M2RX,M4R6,M4R9,RDEEP,RILD,RIPD,RT_HRLT,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT: Laterolog,LAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLD: Laterolog Deep,DLL,HLLD,LLD,LLHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLM: Laterolog Medium,LLM,RLA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLS: Laterolog Shallow,HRLS,HRLS,LAT8,LL8,LLS,RLLS,SLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN: Long Normal,LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN: Short Normal,ASN,ELN16,RSN,SN,SN16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
