Gamma Ray,GR,CGR,ECGR,EHGR,G,GAB,GAM,GAM1,GAPI,GCPS,GGCE,GR_AR,GR_ARC_FILT,GR_STGC,GR1,GR-1A,GR2,GR-5A,GRA,GR-A,GRC,GRCO,GRDA,GRDE,GRDI,GRG,GRGC,GRGM,GRGS,GRH,GRHD,GRI,GR-I,GRLL,GRML,GR-ML,GRN,GRNC,GRNP,GRP,GRPD,GRQH,GRR,GR-R,GRSD,GRSL,GRZ,GRZD,HCGR,HGR,HGR_STGC,HGR-1A,HGR-5A,HHGR,HSGR,MGR,P01LGR,P02LGR,P03LGR,RGR,SGR,SGRD,GRS,HEHG,GCPS,GRM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density Porosity - Sandstone,2DPS,APSC,APSU,DEPO,DPHI_SAN,DPHI_SLDT,DPHI_SLDT_HR,DPHIS,DPHS,DPHZ,DPHZSS,DPRS,DPSS,DPSZ,HDPH,HDPH_SAN,HDPHI,HDPO,HDPSS,HFSC,NDPH,PDS,POD,PORS,PORZ,PORZ2QH,PORZQH,PORZS2,PORZS2QH,PORZSS,PORZSS2,PORZSSQH,PZCSS,PZCSSQH,PZCSSS,PZSS,PZSS2,PZSS2QH,PZSSQH,PZSSS,RPSS,SSD,DPH,DDPP,DNPH,DPH8,DPHI,DPHI_,DPO,DPOR,DPS8,HDPH8,PXND,DPS1,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutron Porosity - Sandstone,CNCS,CNCSGS,CNCSS,CNCSSQH,CNSS,HASC,HNPO_SAN,HNPS,HNPSS,HTNP_SAN,NPHI_SAN,NPHIS,NPHS,NPOR_SAN,NPORSS,NPRS,NPSS,NPSS_C,POS,TNPH_SAN,TNPH_SAN1,HNPH,NPHI_S,CN,CNC,FNPS,HHNPO,HNPHI,HNPO,HTNP,NCN,NCNL,NPHI,NPOR,NPOR_,NPOR_1,RPOR,SNP,TNPH,ENPH,HHNP,FPSC,PRON,QNP-1A,QNP-5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonic,DT,AC,DT41,DT4P,DT4P_C,DTC,DTC2,DTCM,DTCO,DTL,DTLF,DTMN,DTMX,DTP,TTC,AC1,ACCO,ACL,ACN,DT24,DT24-A,DT24AQI,DT24QI,DT24SQA,DT34,DT35,DT5,DTC1,DTCA,DTCR,DTCX,DTSC,MSTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpontaneousPotential,SP,AHSC,AHSF,CPSP,DFSP,EDSP,ELSP,HSP,IASP,IDSP,IXSP,PCH1,RXSP,SP_S,SPA_,SPAR,SPBR,SPC,SPCG,SPD,SPDF,SPDH,SPH,SPLL,SPOT,SPP,SPS,SPSB,SSPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shallow Resistivity,AHTRX,ATRX,HRL1,RESS,RLL1,RXO,RXO_HRLT,RXO1D,RXO8,RXOI,RXOZ,AHT1,AS10,AST1,HAT1,HSFL,MSFF,RXOH,AHT10,AIT10,ASN,AST10,AT10,FE1,FEFE,FR,FRA,HRL2,HRLS,HSFLU,ILS,LL8,LLA,M0R1,M1R1,M2R1,M4R1,MFR,MLL,MSFL,PSHG,RES,RILS,RLL2,RS,RSFE,RSFL,RSG,SFBC,SFL,SFL4,SFLA,SFLR,SFLU,SN,AHT2,AS20,ASRX,AST2,HAT2,AFRX,AHSFI,AHT20,AIT20,AORX,ASFI,ASFL,AST20,AT12,AT20,M0R2,M1R2,M2R2,M4R2,AHF1,AHO1,ASF1,AF10,AHF10,AHO10,AO10,ASF10,ASO10,AHF2,AHO2,ASF2,AF20,AHF20,AHO20,AO20,ASF20,ASO20,AE20,AE30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Resistivity,AHT30,AIT30,AST30,AT30,HILM,HLLS,HRL3,ILM,ILM2,IM,IMER,IMPH,IMVR,M0R3,M1R3,M2R3,M4R3,MVR2,RILM,RIPM,VP25,AHT3,AS30,AST3,HAT3,RLLS,AF30,AHF30,AHO30,ASF30,ILM4,LLS,MVR4,VILM,AE60,ILD25,ILM1,ILM25,IM10,IM20,IM25,IM40,PIRM,REIM,AIT3,AO30,ASO30,MVR1,AHF3,AHO3,ASF3,RPCL,DSLL,RMLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Resistivity,AHTRT,AIT120,AIT90,AST90,AT90,ATRT,DIPH,DVR2,FE2,HRLD,IDPH,IDVR,ILD2,M0RX,M1RX,M4RX,RLA3,RT,RT_HRLT,VP65,VRSD,ID40,AHT9,AHTR,AIT9,AS90,AST9,ASTR,HAT9,HATR,RLLD,RT_H,AHT90,AILD,AIT,AIT60,AST60,AT60,DVR4,HILD,HLLD,HRL5,IDER,IL,ILD,ILD4,LL,LL3,LL7,LLD,M0R9,M1R9,M2R9,M4R9,RFOC,RILD,RIPD,RLA2,RLA4,RLL3,RLL4,RLL5,VILD,AIT6,DDLL,EIRD,ID10,ID20,ID25,ILD1,REID,AHT6,AS60,ASRT,AST6,HAT6,AF90,AFRT,AHF90,AHO90,AHT60,AO90,AORT,ASF90,ASO90,DVR1,GRD,HRL4,LN,M0R6,M1R6,M2R6,M2RX,M4R6,RLA1,RLA5,LLG,AHF9,AHO9,AHOR,ASF9,ASFR,AF60,AHF60,AHO60,AO12,AO60,ASF60,ASO60,AHF6,AHO6,ASF6,A22H,A22H_,A22H_UNC,A28H,A28H_,A28H_UNC,A34H,A34H_,A34H_UNC,P10H,P10H_,P10H_UNC,P16H,P16H_,P16H_UNC,P22H,P22H_,P22H_UNC,P28H,P28H_,P28H_UNC,P34H,P34H_,P34H_UNC,RLL
Photoelectric Effect,2PEF,HPEDN,HPEF8,PDPE,PE,PE2,PE2QH,PEDF,PEDN,PEF,PEF_SLDT,PEF_SLDT_HR,PEF8,PEFA,PEFSA,PEFZ,PEQH,SPEF,HPEF,HPEF,PEFI,PEFI,PEFL,PEFL,LPE,PEFS,PEF_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk Density,RHOB,2RHB,CODE,DEN,DENB,HDEN,HNDP,HRHO,HRHOB,HROM,LRHO,NRHB,NRHO,RHO8,RHOB_SLDT,RHOZ,RHOM,RHOS,RHOI,ZDEN,ZDEN2,ZDEN2QH,ZDENQH,ZDENS,ZDNC,ZDNCQH,ZDNCS,RHL,RHS3,RHS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
